trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
0	0.003245099999986678	text	0		2952								2.1387208999999814	24.600744300000002
0	24.58791450000001	response	0	space									26.723390300000005	
1	24.60398939999999	phase0	0		214	200.0	2.0	0.15	2.0	0.75	0.25	0.2	26.739465199999984	1.7832965000000058
1	26.387285899999995	phase1	1		479	200.0	2.0	0.15	2.0	0.75	0.25	0.2	28.52276169999999	3.9920820000000106
1	30.379367900000005	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	32.5148437	0.2000203000000056
1	30.57938820000001	phase3	3		361	200.0	2.0	0.15	2.0	0.75	0.25	0.2	32.714864000000006	3.0082213000000024
1	31.521878200000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	33.657354	
2	33.58760950000001	phase0	0		156	200.0	2.0	0.15	2.0	0.75	0.25	0.2	35.72308530000001	1.2999400999999864
2	34.8875496	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	37.023025399999995	3.9999540000000025
2	38.8875036	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	41.0229794	0.09994530000000168
2	38.987448900000004	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	41.1229247	2.999857700000007
2	40.25425039999999	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	42.389726199999984	
3	41.98730660000001	phase0	0		211	200.0	2.0	0.15	2.0	0.75	0.25	0.2	44.122782400000006	1.7565763999999717
3	43.74388299999998	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	45.87935879999998	4.001587900000004
3	47.74547089999999	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	49.88094669999998	0.20000850000002401
3	47.94547940000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	50.080955200000005	2.999891600000012
3	48.94565610000001	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	51.0811319	
4	50.94537100000002	phase0	0		261	200.0	2.0	0.15	2.0	0.75	0.25	0.2	53.08084680000002	2.17492679999998
4	53.1202978	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	55.2557736	3.999913699999979
4	57.12021149999998	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	59.25568729999998	0.14999990000001162
4	57.270211399999994	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	59.40568719999999	2.9998562000000106
4	58.5620275	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	60.697503299999994	
5	60.270067600000004	phase0	0		273	200.0	2.0	0.15	2.0	0.75	0.25	0.2	62.4055434	2.274965800000018
5	62.54503340000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	64.68050920000002	3.999906499999952
5	66.54493989999997	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	68.68041569999997	0.14994270000005372
5	66.69488260000003	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	68.83035840000002	2.999928299999965
5	67.93673460000002	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	70.07221040000002	
6	69.6948109	phase0	0		157	200.0	2.0	0.15	2.0	0.75	0.25	0.2	71.83028669999999	1.30825040000002
6	71.00306130000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	73.13853710000001	3.999869600000011
6	75.00293090000002	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	77.13840670000002	0.1500113999999826
6	75.1529423	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	77.2884181	2.9998762999999826
6	76.47812420000002	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	78.61360000000002	
7	78.15281859999999	phase0	0		177	200.0	2.0	0.15	2.0	0.75	0.25	0.2	80.28829439999998	1.473383800000022
7	79.62620240000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	81.7616782	4.001535999999987
