trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
0	0.008382100000062565	text	0		683								2.0541676000001416	5.7023461
0	5.69476300000008	response	0	space									7.740548500000159	
1	5.710728200000062	phase0	0		214	200.0	2.0	0.15	2.0	0.75	0.25	0.2	7.756513700000141	1.7834139999999934
1	7.494142200000056	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	9.539927700000135	3.9997329000000263
1	11.493875100000082	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	13.539660600000161	0.19998179999993226
1	11.693856900000014	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	13.739642400000093	2.9999056000000337
1	13.98582250000004	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	16.03160800000012	
2	14.693762500000048	phase0	0		156	200.0	2.0	0.15	2.0	0.75	0.25	0.2	16.739548000000127	1.299982200000045
2	15.993744700000093	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	18.039530200000172	3.9999470999999858
2	19.99369180000008	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	22.039477300000158	0.10002139999994597
2	20.093713200000025	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	22.139498700000104	2.9998130000000174
2	21.16053940000006	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	23.20632490000014	
3	23.093526200000042	phase0	0		211	200.0	2.0	0.15	2.0	0.75	0.25	0.2	25.13931170000012	1.7582705999999462
3	24.85179679999999	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	26.897582300000067	4.000459599999999
3	28.852256399999987	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	30.898041900000067	0.19998470000007273
3	29.05224110000006	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	31.09802660000014	2.999909099999968
3	30.427468599999997	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	32.47325410000008	
4	32.05215020000003	phase0	0		261	200.0	2.0	0.15	2.0	0.75	0.25	0.2	34.09793570000011	2.174938999999995
