trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
0	0.009894500000001472	text	0		5680								2.076828799999987	47.33397150000002
0	47.3279378	response	0	space									49.394872099999986	
1	47.34386600000002	phase0	0		214	200.0	2.0	0.15	2.0	0.75	0.25	0.2	49.410800300000005	1.783336300000002
1	49.12720230000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	51.19413660000001	3.9999183999999843
1	53.127120700000006	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	55.19405499999999	0.1999010000000112
1	53.32702170000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	55.393956	2.999935700000009
1	54.9105854	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	56.97751969999999	
2	56.326957400000026	phase0	0		156	200.0	2.0	0.15	2.0	0.75	0.25	0.2	58.39389170000001	1.29994769999999
2	57.626905100000016	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	59.6938394	3.9998642999999845
2	61.6267694	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	63.693703699999986	0.09999310000000605
2	61.72676250000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	63.79369679999999	2.9998884999999973
2	63.560302200000024	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	65.62723650000001	
3	64.726651	phase0	0		211	200.0	2.0	0.15	2.0	0.75	0.25	0.2	66.79358529999999	1.758232000000021
3	66.48488300000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	68.55181730000001	3.9999151999999754
3	70.4847982	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	72.55173249999999	0.1999738000000093
3	70.68477200000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	72.7517063	2.9999731999999995
3	71.65838100000002	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	73.7253153	
4	73.68474520000001	phase0	0		261	200.0	2.0	0.15	2.0	0.75	0.25	0.2	75.7516795	2.174943500000012
4	75.85968870000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	77.926623	3.9998243
4	79.85951300000002	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	81.9264473	0.15003559999999538
4	80.00954860000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	82.0764829	2.9998918000000003
4	82.13465390000002	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	84.2015882	
5	83.00944040000002	phase0	0		274	200.0	2.0	0.15	2.0	0.75	0.25	0.2	85.0763747	2.28324649999999
5	85.2926869	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	87.35962119999999	3.999867899999998
5	89.2925548	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	91.35948909999999	0.15002110000000357
5	89.44257590000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	91.5095102	2.999874300000016
5	91.76767800000002	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	93.8346123	
6	92.44245020000002	phase0	0		156	200.0	2.0	0.15	2.0	0.75	0.25	0.2	94.50938450000001	1.2999889999999823
6	93.7424392	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	95.80937349999999	3.999825900000019
6	97.74226510000003	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	99.80919940000001	0.14829800000001114
6	97.89056310000004	phase3	3		341	200.0	2.0	0.15	2.0	0.75	0.25	0.2	99.95749740000002	2.9986015999999722
6	99.53238330000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	101.5993176	
7	100.88916470000001	phase0	0		170	200.0	2.0	0.15	2.0	0.75	0.25	0.2	102.956099	1.483240099999989
7	102.3724048	phase1	1		479	200.0	2.0	0.15	2.0	0.75	0.25	0.2	104.43933909999998	3.994602500000042
7	106.36700730000004	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	108.43394160000003	0.0021839999999997417
7	106.36919130000004	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	108.43612560000003	2.997735299999988
7	107.77558060000004	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	109.84251490000003	
8	109.36692660000003	phase0	0		143	200.0	2.0	0.15	2.0	0.75	0.25	0.2	111.43386090000001	1.191642599999966
8	110.5585692	phase1	1		481	200.0	2.0	0.15	2.0	0.75	0.25	0.2	112.62550349999998	4.008195000000001
8	114.5667642	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	116.63369849999998	0.10002090000000408
8	114.6667851	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	116.73371939999998	2.991587900000013
8	115.77359550000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	117.84052980000001	
9	117.65837300000001	phase0	0		172	200.0	2.0	0.15	2.0	0.75	0.25	0.2	119.7253073	1.4332721000000106
9	119.09164510000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	121.15857940000001	3.9998329000000012
9	123.09147800000002	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	125.15841230000001	0.002203599999972994
9	123.0936816	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	125.16061589999998	2.997717000000023
9	124.1666701	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	126.23360439999999	
10	126.09139860000002	phase0	0		192	200.0	2.0	0.15	2.0	0.75	0.25	0.2	128.1583329	1.5999401999999918
10	127.69133880000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	129.7582731	3.999902200000008
10	131.69124100000002	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	133.7581753	0.14825109999998176
10	131.8394921	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	133.9064264	3.0016481000000113
10	132.91467600000001	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	134.9816103	
11	134.8411402	phase0	0		279	200.0	2.0	0.15	2.0	0.75	0.25	0.2	136.9080745	2.324978999999985
11	137.1661192	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	139.23305349999998	3.9998304000000076
11	141.1659496	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	143.2328839	0.14996500000000879
11	141.3159146	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	143.3828489	2.999987400000009
11	142.5394338	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	144.6063681	
12	144.31590200000002	phase0	0		323	200.0	2.0	0.15	2.0	0.75	0.25	0.2	146.3828363	2.6915374000000156
12	147.00743940000004	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	149.07437370000002	3.9998526999999626
12	151.0072921	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	153.0742264	0.1500017999999841
12	151.15729389999998	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	153.22422819999997	2.999899600000049
12	152.1574768	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	154.2244111	
13	154.15719350000003	phase0	0		337	200.0	2.0	0.15	2.0	0.75	0.25	0.2	156.22412780000002	2.8082390999999802
13	156.9654326	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	159.0323669	3.999939299999994
13	160.9653719	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	163.0323062	0.29994740000000775
13	161.26531930000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	163.3322536	2.999906199999998
13	163.44883460000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	165.5157689	
14	164.2652255	phase0	0		155	200.0	2.0	0.15	2.0	0.75	0.25	0.2	166.3321598	1.2916342999999983
14	165.5568598	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	167.6237941	3.99985190000001
14	169.55671170000002	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	171.623646	0.15000170000001845
14	169.70671340000004	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	171.77364770000003	2.9981919999999604
14	171.56522900000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	173.6321633	
15	172.7049054	phase0	0		343	200.0	2.0	0.15	2.0	0.75	0.25	0.2	174.7718397	2.8599621000000184
15	175.56486750000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	177.6318018	3.999898299999984
15	179.5647658	phase2	2		6	200.0	2.0	0.15	2.0	0.75	0.25	0.2	181.6317001	0.04998790000001918
