trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
1	0.9234424000005674	text_phase	0		22007	2.0281895000007353	183.43710389999978
1	184.3445827000005	response	0	space		185.44932980000067	
2	184.36054630000035	text_phase	0		417	185.46529340000052	3.474910500000078
2	187.81895240000085	response	0	space		188.92369950000102	
3	187.83545680000043	alternation	0		24	188.9402039000006	0.20004049999988638
3	188.03549730000032	alternation	1		24	189.14024440000048	0.1999353000001065
3	188.23543260000042	alternation	2		25	189.3401797000006	0.20835509999960777
3	188.44378770000003	alternation	3		23	189.5485348000002	0.1916134000002785
3	188.6354011000003	alternation	4		25	189.74014820000048	0.20832979999977397
3	188.84373090000008	alternation	5		23	189.94847800000025	0.19170910000048025
3	189.03544000000056	alternation	6		24	190.14018710000073	0.1999802999998792
3	189.23542030000044	alternation	7		25	190.3401674000006	0.20657810000011523
3	189.44199840000056	alternation	8		24	190.54674550000072	0.19998889999988023
3	189.64198730000044	alternation	9		24	190.7467344000006	0.19999929999994492
3	189.84198660000038	alternation	10		24	190.94673370000055	0.19999660000030417
3	190.0419832000007	alternation	11		24	191.14673030000085	0.19997969999985798
3	190.24196290000054	alternation	12		24	191.3467100000007	0.20000479999998788
3	190.44196770000053	alternation	13		24	191.5467148000007	0.19999519999964832
3	190.64196290000018	alternation	14		24	191.74671000000035	0.2000042999998186
3	190.8419672	alternation	15		24	191.94671430000017	0.1999838000001546
3	191.04195100000015	alternation	16		24	192.14669810000032	0.20175259999996342
3	191.24370360000012	alternation	17		24	192.34845070000028	0.19997000000057596
3	191.4436736000007	alternation	18		24	192.54842070000086	0.19998369999939314
3	191.6436573000001	alternation	19		24	192.74840440000025	0.2000480000006064
4	191.8437053000007	text_phase	0		451	192.94845240000086	3.7581580999994912
4	195.58544170000005	response	0	space		196.69018880000021	
5	195.60186340000018	alternation	0		25	196.70661050000035	0.20833930000026157
5	195.81020270000045	alternation	1		24	196.9149498000006	0.20000470000013593
5	196.01020740000058	alternation	2		24	197.11495450000075	0.2000129999996716
5	196.21022040000025	alternation	3		24	197.31496750000042	0.19996330000049056
5	196.41018370000074	alternation	4		24	197.5149308000009	0.20005769999988843
5	196.61024140000063	alternation	5		24	197.7149885000008	0.20000840000011522
5	196.81024980000075	alternation	6		24	197.91499690000092	0.199900699999489
5	197.01015050000024	alternation	7		24	198.1148976000004	0.2000052000003052
5	197.21015570000054	alternation	8		24	198.3149028000007	0.20002500000009604
5	197.41018070000064	alternation	9		24	198.5149278000008	0.19995579999977053
5	197.6101365000004	alternation	10		24	198.71488360000058	0.1999825000002602
5	197.81011900000067	alternation	11		24	198.91486610000084	0.20001769999998942
5	198.01013670000066	alternation	12		24	199.11488380000083	0.19997710000006919
5	198.21011380000073	alternation	13		24	199.3148609000009	0.19997960000000603
5	198.41009340000073	alternation	14		24	199.5148405000009	0.20001649999994697
5	198.61010990000068	alternation	15		24	199.71485700000085	0.2000313999997161
5	198.8101413000004	alternation	16		23	199.91488840000056	0.18948939999972936
5	198.99963070000013	alternation	17		25	200.1043778000003	0.2087160999999469
5	199.20834680000007	alternation	18		24	200.31309390000024	0.20000240000081249
5	199.40834920000088	alternation	19		24	200.51309630000105	0.1999960999992254
6	199.6083453000001	text_phase	0		709	200.71309240000028	5.909893700000794
6	205.50183480000032	response	0	space		206.6065819000005	
7	205.5182390000009	alternation	0		24	206.62298610000107	0.2000332999996317
7	205.71827230000054	alternation	1		25	206.8230194000007	0.2083145999995395
7	205.92658690000007	alternation	2		24	207.03133400000024	0.19995680000010907
7	206.12654370000018	alternation	3		23	207.23129080000035	0.19167340000058175
7	206.31821710000077	alternation	4		25	207.42296420000093	0.20823810000001686
7	206.52645520000078	alternation	5		24	207.63120230000095	0.20007089999944583
7	206.72652610000023	alternation	6		24	207.8312732000004	0.19999259999985952
7	206.9265187000001	alternation	7		24	208.03126580000026	0.19999650000045222
7	207.12651520000054	alternation	8		24	208.2312623000007	0.20003929999984393
7	207.32655450000038	alternation	9		24	208.43130160000055	0.19999009999992268
7	207.5265446000003	alternation	10		23	208.63129170000047	0.19161160000021482
7	207.71815620000052	alternation	11		25	208.8229033000007	0.20841079999991052
7	207.92656700000043	alternation	12		24	209.0313141000006	0.19991300000037882
7	208.1264800000008	alternation	13		24	209.23122710000098	0.19994279999991704
7	208.32642280000073	alternation	14		24	209.4311699000009	0.20005849999961356
7	208.52648130000034	alternation	15		24	209.6312284000005	0.19997150000017427
7	208.72645280000052	alternation	16		24	209.83119990000068	0.19999430000007123
7	208.9264471000006	alternation	17		24	210.03119420000075	0.19998329999998532
7	209.12643040000057	alternation	18		24	210.23117750000074	0.19999420000021928
7	209.3264246000008	alternation	19		24	210.43117170000096	0.20003240000005462
8	209.52645700000085	text_phase	0		297	210.631204100001	2.47491859999991
8	211.98487230000046	response	0	space		213.08961940000063	
9	212.00137560000076	alternation	0		25	213.10612270000092	0.20659100000011676
9	212.20796660000087	alternation	1		24	213.31271370000104	0.20001099999990402
9	212.40797760000078	alternation	2		24	213.51272470000094	0.1999605999999403
9	212.60793820000072	alternation	3		24	213.71268530000089	0.19999229999939416
9	212.8079305000001	alternation	4		24	213.91267760000028	0.19999370000005
9	213.00792420000016	alternation	5		24	214.11267130000033	0.19998540000051435
9	213.20790960000068	alternation	6		24	214.31265670000084	0.1999998000001142
9	213.4079094000008	alternation	7		24	214.51265650000096	0.20001229999979842
9	213.6079217000006	alternation	8		24	214.71266880000076	0.19999000000007072
9	213.80791170000066	alternation	9		24	214.91265880000083	0.20172610000008717
9	214.00963780000075	alternation	10		24	215.1143849000009	0.20000139999956446
9	214.2096392000003	alternation	11		23	215.31438630000048	0.1917180999998891
9	214.4013573000002	alternation	12		25	215.50610440000037	0.2082594000003155
9	214.60961670000052	alternation	13		24	215.71436380000068	0.2000175000002855
